startDate,endDate,status,ipAddress,progress,duration,finished,recordedDate,_recordId,recipientLastName,recipientFirstName,recipientEmail,externalDataReference,QID21_TEXT,QID1_TEXT,QID2,QID3,QID4,QID22,QID5,QID6,QID7,QID10,QID11,QID12,QID13,QID13_10_TEXT,QID14,QID15,QID16,QID17,QID18,QID19,QID20,QID20_10_TEXT
2016-04-26 10:08:56,2016-04-26 10:10:51,IP Address,130.215.24.211,100,114,True,2016-04-26 10:10:51,R_26lILLWsgXD6NCV,,,,,24,21,Male,Right Handed,Right,Index Finger,Yes,Yes,No,3,4,2,"Puzzle games,Point and click adventure games,Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any)",,6 to 10 hours,Yes,Less than once a week,1 to 5 hours,No,,"Interactive Media and Game Development,Computer Science",
2016-04-22 17:09:50,2016-04-22 17:11:27,IP Address,130.215.24.211,100,97,True,2016-04-22 17:11:28,R_2VxXdvVfQLebDpu,,,,,23,20,Female,Right Handed,Right,Index Finger,Yes,Yes,No,3,3,2,"Puzzle games,Point and click adventure games,Multiplayer Online Battle Arena (MOBA)",,Less than 1 hour,No,,6 to 11 hours,No,,Biomedical Engineering,
2016-04-21 16:22:40,2016-04-21 16:24:16,IP Address,130.215.24.222,100,96,True,2016-04-21 16:24:17,R_ymzRZReawzWv0Fr,,,,,22,26,Female,Right Handed,Right,Index Finger,Yes,Yes,No,3,3,2,"Puzzle games,Point and click adventure games,Racing games,Multiplayer Online Battle Arena (MOBA)",,1 to 5 hours,Yes,2-3 times a week,6 to 11 hours,No,,"Computer Science,Other",Learning Sciences & Technology
2016-04-21 16:19:20,2016-04-21 16:21:10,IP Address,130.215.24.220,100,109,True,2016-04-21 16:21:11,R_OAISCf8K3hYoJwZ,,,,,21,20,Male,Left Handed,Right,Index Finger,Yes,Yes,No,4,4,3,"Puzzle games,Point and click adventure games,Massive Multiplayer Online (MMO),Real Time Strategy (RTS),Turn-Based games (any),Other,Multiplayer Online Battle Arena (MOBA)",RPG,1 to 5 hours,No,,12 to 17 hours,No,,"Interactive Media and Game Development,Computer Science",
2016-04-21 11:04:47,2016-04-21 11:06:09,IP Address,130.215.24.222,100,82,True,2016-04-21 11:06:10,R_R9Qi7TxCAyCDc53,,,,,20,20,Male,Left Handed,Right,Index Finger,No,,No,1,2,2,"Racing games,Sports games,First Person Shooter (FPS)",,Less than 1 hour,No,,1 to 5 hours,No,,Biomedical Engineering,
2016-04-20 16:38:44,2016-04-20 16:40:25,IP Address,130.215.24.211,100,101,True,2016-04-20 16:40:26,R_2Yhx2GbdR3Dfe7O,,,,,19,19,Female,Right Handed,Right,Index Finger,No,,No,2,2,1,"Puzzle games,Racing games",,1 to 5 hours,Yes,Once a week,Less than 1 hour,No,,Computer Science,
2016-04-20 12:30:39,2016-04-20 12:32:00,IP Address,130.215.24.211,100,81,True,2016-04-20 12:32:01,R_3jUa3CJMapmqmAy,,,,,18,18,Female,Right Handed,Right,Index Finger,Yes,Yes,No,1,1,1,Other,none,Less than 1 hour,No,,Less than 1 hour,No,,Other,Physics
2016-04-20 11:09:13,2016-04-20 11:10:49,IP Address,130.215.24.211,100,96,True,2016-04-20 11:10:51,R_3MgvqaJ4y7epmSn,,,,,17,18,Female,Left Handed,Right,Index Finger,No,,No,1,1,1,,,Less than 1 hour,Yes,Less than once a week,Less than 1 hour,No,,Civil Engineering,
2016-04-15 17:24:01,2016-04-15 17:26:51,IP Address,130.215.24.220,100,170,True,2016-04-15 17:26:52,R_1HkIr7e5g3vJEGW,,,,,16,20,Male,Both,Right,Index Finger,No,,Yes,5,5,5,"Puzzle games,Point and click adventure games,First Person Shooter (FPS),Turn-Based games (any)",,More than 20 hours,No,,More than 18 hours,Yes,Once a week,Computer Science,
2016-04-15 17:05:00,2016-04-15 17:07:06,IP Address,130.215.24.220,100,126,True,2016-04-15 17:07:08,R_3MPBwuiR3X2ZWZG,,,,,15,20,Male,Right Handed,Right,Index Finger,Yes,Yes,No,3,3,3,"Racing games,Sports games,Real Time Strategy (RTS),First Person Shooter (FPS),Multiplayer Online Battle Arena (MOBA)",,1 to 5 hours,Yes,Once a week,1 to 5 hours,No,,Computer Science,
2016-04-15 17:05:02,2016-04-15 17:06:37,IP Address,130.215.24.222,100,94,True,2016-04-15 17:06:38,R_wSp41NXpSRocWRj,,,,,14,20,Male,Right Handed,Right,Pinky Finger,Yes,No,No,3,4,4,"Massive Multiplayer Online (MMO),Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any),Multiplayer Online Battle Arena (MOBA)",,1 to 5 hours,No,,6 to 11 hours,No,,Chemical Engineering,
2016-04-15 16:47:40,2016-04-15 16:49:11,IP Address,130.215.24.222,100,91,True,2016-04-15 16:49:12,R_OPVH9Qgbor7pUM9,,,,,13,23,Other,Right Handed,Right,Index Finger,Yes,Yes,Yes,5,5,5,"Puzzle games,Racing games,Massive Multiplayer Online (MMO),Real Time Strategy (RTS),Turn-Based games (any),Multiplayer Online Battle Arena (MOBA)",,11 to 15 hours,Yes,Once a week,6 to 11 hours,Yes,2-3 times a week,Computer Science,
2016-04-15 16:31:03,2016-04-15 16:32:47,IP Address,130.215.24.214,100,104,True,2016-04-15 16:32:48,R_3JFBiZVJ1ugkcJv,,,,,12,21,Male,Right Handed,Right,Ring Finger,Yes,No,No,3,3,2,"Puzzle games,Point and click adventure games,Racing games,Massive Multiplayer Online (MMO),First Person Shooter (FPS),Turn-Based games (any),Multiplayer Online Battle Arena (MOBA)",,1 to 5 hours,No,,12 to 17 hours,No,,Computer Science,
2016-04-15 14:36:09,2016-04-15 14:38:23,IP Address,130.215.24.216,100,133,True,2016-04-15 14:38:24,R_wYJjvK2yQDmwNt7,,,,,11,20,Male,Left Handed,Right,Index Finger,No,,No,3,3,3,"Puzzle games,Racing games,Turn-Based games (any)",,Less than 1 hour,No,,Less than 1 hour,No,,Mechanical Engineering,
2016-04-15 14:36:10,2016-04-15 14:37:55,IP Address,130.215.24.212,100,104,True,2016-04-15 14:37:56,R_2fKi6hVHkDfo1W8,,,,,10,21,Male,Right Handed,Right,Index Finger,No,,No,4,3,3,"Puzzle games,Point and click adventure games,Racing games,Sports games,Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any)",,6 to 10 hours,No,,1 to 5 hours,No,,Computer Science,
2016-04-15 12:27:12,2016-04-15 12:28:33,IP Address,130.215.24.223,100,80,True,2016-04-15 12:28:34,R_UF2SJf47KfYGwtX,,,,,9,21,Male,Right Handed,Right,Index Finger,Yes,Yes,No,3,3,2,"Massive Multiplayer Online (MMO),Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any),Multiplayer Online Battle Arena (MOBA)",,6 to 10 hours,No,,6 to 11 hours,No,,Computer Science,
2016-04-15 12:06:20,2016-04-15 12:07:58,IP Address,130.215.24.223,100,97,True,2016-04-15 12:07:59,R_2OGEHAIZeBDrxmw,,,,,8,21,Male,Right Handed,Right,Index Finger,Yes,Yes,No,5,5,5,"Puzzle games,Point and click adventure games,Massive Multiplayer Online (MMO),Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any),Other,Multiplayer Online Battle Arena (MOBA)",Fighting games,More than 20 hours,Yes,2-3 times a week,6 to 11 hours,No,,Computer Science,
2016-04-15 11:28:17,2016-04-15 11:30:26,IP Address,130.215.24.223,100,128,True,2016-04-15 11:30:27,R_vP4ZxFciMb2y9ix,,,,,7,20,Male,Right Handed,Right,Index Finger,Yes,Yes,No,4,5,4,"Puzzle games,Massive Multiplayer Online (MMO),Real Time Strategy (RTS),First Person Shooter (FPS),Multiplayer Online Battle Arena (MOBA)",,6 to 10 hours,No,,1 to 5 hours,Yes,4-6 times a week,Interactive Media and Game Development,
2016-04-14 21:38:59,2016-04-14 21:42:21,IP Address,130.215.24.223,100,202,True,2016-04-14 21:42:23,R_1H5hsHyUYwSd73X,,,,,6,19,Female,Right Handed,Right,Index Finger,Yes,Yes,No,4,4,4,"Puzzle games,Point and click adventure games,Racing games,Sports games,Massive Multiplayer Online (MMO),Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any),Multiplayer Online Battle Arena (MOBA)",,6 to 10 hours,No,,More than 18 hours,No,,"Robotics Engineering,Computer Science",
2016-04-12 16:30:13,2016-04-12 16:31:50,IP Address,130.215.24.213,100,97,True,2016-04-12 16:31:51,R_1nWbk0CEiKkU6sY,,,,,4,21,Male,Right Handed,Right,Index Finger,No,,No,5,5,5,"Puzzle games,Point and click adventure games,Racing games,Massive Multiplayer Online (MMO),Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any),Other",Roguelikes,More than 20 hours,No,,6 to 11 hours,No,,"Robotics Engineering,Computer Science",
2016-04-12 11:30:52,2016-04-12 11:33:02,IP Address,130.215.24.223,100,129,True,2016-04-12 11:33:02,R_3sBJX1Cnuojskx0,,,,,5,21,Male,Right Handed,Right,Index Finger,Yes,Yes,No,4,4,4,"Puzzle games,Racing games,Turn-Based games (any),Other,Multiplayer Online Battle Arena (MOBA)",JRPG,6 to 10 hours,Yes,Daily,1 to 5 hours,No,,Other,Biochemistry
2016-04-08 12:15:54,2016-04-08 12:17:26,IP Address,130.215.24.213,100,91,True,2016-04-08 12:17:27,R_1dL9rOt5Q8IYNZQ,,,,,3,21,Male,Right Handed,Right,Index Finger,No,,No,2,1,1,"Puzzle games,Point and click adventure games,Racing games,Sports games,Turn-Based games (any)",,Less than 1 hour,Yes,4-6 times a week,Less than 1 hour,No,,Chemical Engineering,
2016-04-08 12:04:36,2016-04-08 12:06:44,IP Address,130.215.24.223,100,127,True,2016-04-08 12:06:45,R_33eAClCelVAP56F,,,,,2,25,Male,Right Handed,Right,Index Finger,Yes,Yes,No,5,5,5,"Puzzle games,Racing games,Massive Multiplayer Online (MMO),Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any),Multiplayer Online Battle Arena (MOBA)",,Less than 1 hour,Yes,Less than once a week,6 to 11 hours,No,,Computer Science,
2016-04-07 17:18:15,2016-04-07 17:20:50,IP Address,130.215.24.211,100,154,True,2016-04-07 17:20:50,R_2wBHhqlIz6gUKek,,,,,1,21,Male,Right Handed,Right,Index Finger,Yes,Yes,No,5,5,4,"Puzzle games,Racing games,Sports games,Massive Multiplayer Online (MMO),Real Time Strategy (RTS),First Person Shooter (FPS),Turn-Based games (any),Multiplayer Online Battle Arena (MOBA)",,6 to 10 hours,No,,6 to 11 hours,No,,Other,Industrial Engineering
